@relation 'train_set-weka.filters.unsupervised.attribute.Remove-R1-2,6,8-9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute home_score numeric
@attribute away_score numeric
@attribute strength_code {PP,EV,SH}
@attribute shot_distance numeric
@attribute shot_angle numeric
@attribute shot_outcome {SHOT,MISSED_SHOT,GOAL}

@data
1,0,PP,0.599676,22.4,SHOT
0,2,EV,-0.957123,35,MISSED_SHOT
1,0,EV,-0.924,67.4,SHOT
3,3,EV,-0.832911,23.2,SHOT
1,1,EV,-0.692136,53.7,SHOT
3,2,PP,-0.373324,8.7,SHOT
1,3,EV,-0.178724,14.9,SHOT
1,2,PP,-0.754243,83.3,SHOT
0,4,EV,0.926769,25.7,SHOT
1,0,EV,0.566552,0,SHOT
0,3,EV,0.193914,31.7,MISSED_SHOT
2,3,EV,-0.692136,36.3,SHOT
1,1,EV,0.777714,16.1,GOAL
0,3,EV,-1.147583,66.8,SHOT
1,1,PP,-1.02337,41.2,MISSED_SHOT
0,1,EV,-0.079354,38.9,GOAL
0,1,EV,0.276723,2.7,SHOT
3,2,EV,0.757012,8.6,MISSED_SHOT
3,2,PP,-1.035791,60.9,GOAL
1,0,EV,-1.081336,40.6,SHOT
3,0,EV,2.483568,25.5,SHOT
2,0,PP,-0.451992,35,SHOT
1,3,EV,-0.584485,8.1,SHOT
2,0,PP,-0.476834,14.6,SHOT
2,1,EV,0.595535,15.2,SHOT
1,0,EV,-0.977826,31,MISSED_SHOT
2,2,EV,-0.870175,24.8,GOAL
0,0,EV,0.723888,37.3,SHOT
7,4,EV,-0.505817,72.3,GOAL
2,5,SH,1.730011,3,GOAL
2,1,EV,-0.518239,37.9,MISSED_SHOT
1,1,PP,-0.33192,61.6,SHOT
0,3,EV,0.483744,23.8,SHOT
1,0,PP,-1.251093,11.3,SHOT
1,0,EV,0.34711,20.1,SHOT
0,2,EV,-0.708698,80.5,SHOT
1,1,EV,0.856382,41.4,SHOT
1,1,EV,-0.323639,19.1,SHOT
1,2,EV,-0.14146,32.2,MISSED_SHOT
1,1,PP,-0.257392,40.8,GOAL
1,2,PP,-1.197268,51.3,GOAL
2,0,EV,-1.052353,45,SHOT
7,3,EV,-0.957123,9.5,GOAL
1,2,PP,0.483744,29.3,SHOT
0,0,PP,-1.110319,69.4,SHOT
1,0,EV,0.674203,8.9,SHOT
2,1,EV,-0.576205,79.2,SHOT
2,0,EV,0.169072,30.5,MISSED_SHOT
3,2,PP,0.723888,27.1,SHOT
3,1,EV,0.318127,1.3,MISSED_SHOT
2,2,SH,-0.758383,28.1,SHOT
1,1,EV,-1.081336,49.4,SHOT
0,1,EV,0.454761,6.2,SHOT
4,0,EV,-0.799787,0,SHOT
1,1,PP,0.34711,20.1,SHOT
1,1,EV,0.558271,35,SHOT
2,3,EV,-1.093757,26.6,SHOT
3,3,EV,-1.168285,45,SHOT
1,1,EV,0.914348,22.5,MISSED_SHOT
1,2,EV,-0.957123,9.5,GOAL
0,1,PP,-0.485115,36.4,SHOT
1,2,EV,0.649361,28.1,MISSED_SHOT
0,0,EV,-0.572064,27.8,SHOT
0,2,PP,-0.199426,49,GOAL
0,0,EV,1.042701,22.3,MISSED_SHOT
0,0,PP,-0.199426,31.6,MISSED_SHOT
0,0,EV,0.674203,21.6,SHOT
1,6,EV,-1.21383,0,SHOT
5,0,PP,0.065561,12.5,SHOT
2,2,EV,-0.050371,3.4,SHOT
6,2,EV,0.777714,33.7,SHOT
3,2,EV,-1.110319,45,GOAL
2,2,PP,0.131808,24.6,MISSED_SHOT
3,3,EV,-0.232549,45,SHOT
0,0,SH,0.914348,35.1,MISSED_SHOT
0,0,EV,0.342969,31.9,SHOT
5,2,EV,-1.015089,68.2,MISSED_SHOT
4,3,EV,0.504446,40.7,SHOT
1,3,PP,0.429918,61.2,SHOT
0,1,EV,0.823258,31.7,MISSED_SHOT
0,0,EV,0.699046,4.4,SHOT
3,1,PP,-1.209689,9.5,SHOT
1,0,EV,-1.126881,60.3,MISSED_SHOT
0,0,EV,0.044859,58.5,SHOT
2,0,PP,0.131808,27.9,SHOT
5,1,PP,0.814978,1,SHOT
1,1,EV,0.972314,31.8,SHOT
0,3,EV,0.44648,27.1,SHOT
4,0,EV,-0.63417,2.9,SHOT
2,4,EV,-0.273954,29.2,SHOT
1,0,EV,0.748731,13,SHOT
0,1,EV,0.690765,2.2,MISSED_SHOT
1,1,EV,0.293284,45,SHOT
0,0,EV,1.204177,36.2,SHOT
1,1,PP,-0.253252,38,SHOT
2,2,EV,0.14837,46,MISSED_SHOT
0,0,EV,0.293284,34.4,SHOT
2,2,EV,0.558271,28.1,MISSED_SHOT
6,1,EV,4.441988,8.5,SHOT
2,2,EV,1.870785,6.4,SHOT
2,0,PP,-0.004826,6.5,SHOT
0,1,EV,-0.323639,56.9,SHOT
3,3,PP,-0.145601,12.7,SHOT
0,0,EV,0.595535,15.2,SHOT
0,2,EV,-0.965404,4.8,MISSED_SHOT
0,0,EV,-0.667294,51.3,SHOT
2,1,EV,-0.257392,3.9,GOAL
0,1,EV,1.001297,29.1,SHOT
4,4,EV,-0.998528,10.3,SHOT
0,3,EV,0.686624,19.1,MISSED_SHOT
3,1,PP,-0.899157,36,SHOT
0,0,EV,-0.497536,9.9,SHOT
0,0,EV,-0.178724,0,SHOT
0,1,EV,-0.439571,68.6,SHOT
0,2,EV,1.017858,27.8,MISSED_SHOT
2,0,EV,-1.275936,63.4,SHOT
2,1,EV,0.674203,35.5,SHOT
4,1,EV,0.852241,28.9,SHOT
0,0,EV,-0.33192,23.7,SHOT
0,1,EV,-0.104196,58.7,MISSED_SHOT
2,1,EV,0.334689,28.9,SHOT
0,0,EV,-1.22211,59,SHOT
0,1,EV,1.001297,29.1,SHOT
0,0,EV,-0.456132,9.5,SHOT
0,1,SH,5.845591,7.5,SHOT
2,6,EV,-0.53066,20.9,SHOT
7,4,PP,-0.874315,39.3,SHOT
1,2,EV,-1.126881,7.1,MISSED_SHOT
1,0,EV,0.077982,59.3,SHOT
2,2,EV,0.831539,20.1,SHOT
2,3,EV,-0.323639,10.5,GOAL
0,1,EV,0.802556,9.5,MISSED_SHOT
1,2,EV,-1.168285,8.1,SHOT
